Test Result DB
         c        Lc         t
   0.00000   4.80992  13.11326
   0.00000   4.68095   8.99111
   1.95443   5.78864   7.40495
   0.00000   4.85383  10.80388
   5.90446   6.01785  14.07727
   6.52007   7.02094   1.94150
   2.93192   9.03283  16.05235
   2.92897   8.01840   6.08137
   2.99668   3.22405  11.68167
   1.02965   1.64118  20.09661
   8.10985   4.98454  17.58554
   1.65312   1.47409  14.53256
   8.93458   5.05327  14.12306
   2.11522   8.09645  14.81510
   1.07299   1.82814  15.89708
   4.30246   2.17584  14.05825
   6.40169   7.19343   5.04458
   3.84834   4.89692  19.75483
   8.08655   5.92925   8.91726
   2.93798   3.98060   5.71840
   2.03480   6.98123  18.80669
   2.92133   8.99104  16.88578
   6.89620   1.97461  17.62337
   7.95980   4.03176   9.28114
   2.98961   7.03173  17.94332
   9.03804   4.99392  17.06127
   1.09633   2.83645   7.09777
   5.97472   3.02474   5.15259
   4.16722   4.01923   4.66111
   0.00000   4.62877  13.95134
   4.00325   4.95136  19.45463
   0.00000   4.82868  12.94287
   2.96678   7.07451   4.24990
   0.98618   7.12843   7.40233
   0.00000   4.55410  20.03960
   1.01237   4.94823  18.02799
   0.00000   4.19069   8.04840
   3.95715   3.95143   8.81345
   1.99778   7.16673  18.14807
   5.98205   1.96996  17.79125
   0.00000   4.77144  11.02252
   1.03544   6.34029  18.06995
   0.00000   4.75373  10.98302
   8.23477   1.99295  15.60583
   2.99619   7.01781  14.82643
   2.39873   8.05489   1.10728
   1.97512   2.08347  14.30295
   0.00000   4.30975  18.00352
   2.98707   3.01909  14.19208
   0.00000   4.77055   9.11865
   7.80992   5.06011   5.53483
   7.84876   6.01994   8.20781
   4.15339   5.95323   5.22541
   2.06395   8.90938  19.69837
   1.04838   3.06047  12.15142
   5.01348   4.88586   5.60097
   5.94157   4.07995  13.99957
   3.11309   6.83026  17.33818
   9.05361   4.96002  17.90162
   2.01094   4.99984  19.36571
   6.98969   5.01738  15.84007
   3.95851   3.00560  16.97946
   1.21376   4.02001   3.70663
   6.07828   2.03728  19.28514
   1.00878   3.01583  18.92006
   1.97246   2.10239  18.90555
   5.05356   8.90953  16.87225
   4.99599   5.03740  17.02367
   5.03110   4.01855   5.87940
   6.99545   5.94709  13.93578
   3.01543   4.00784   4.89735
   0.95244   1.05090  19.19435
   6.93061   3.95153  18.99289
   7.09336   1.95320  17.14710
   0.00000   4.32813  17.96874
   1.97465   7.11537  12.06312
   8.02657   6.03564  19.54528
   1.00406   2.00745  13.05954
   4.26851   9.69112  10.41870
   3.85966   8.51698  17.25638
   2.16147   7.84260  19.41610
   2.10497   8.89139  19.82854
   7.96610   6.08443  18.26294
   3.98655   4.07140   5.45681
   7.01137   5.99256  13.89615
   0.96082   5.56220  12.24978
   1.04281   2.93501  18.82610
   4.76947   9.27078  13.47283
   4.85744   7.98730  18.88033
   4.00690   6.84170   6.44095
   1.03015   5.00270  20.12767
   2.00261   4.16002  11.91672
   2.97558   3.99801  19.17390
   0.00000   4.74007  16.04584
   4.94093   7.72701   5.02133
   2.04705   3.01824  17.17893
   6.04956   3.96112   7.46410
   6.00303   4.95970  11.02268
   6.96727   4.02103  14.81785
   0.92306   1.12777  19.39970
   1.12403   4.87658  10.36358
   7.01798   4.99323  15.70342
   2.15275   8.91558  19.74631
   0.00000   5.42778  15.07653
   4.02076   2.97466   5.76510
   1.04278   4.75241   9.01390
   7.02085   1.95364  17.58498
   8.04122   3.98887   5.42290
   8.99925   6.02544   9.88093
   0.00000   4.12841   8.00588
   4.75777   6.06044   2.54669
   8.79297   7.95802  11.50811
   0.00000   5.20337   1.92150
   0.00000   4.66005   8.93694
   2.81905   4.13692   8.26476
   2.88425   3.28697  11.56650
   2.94799   1.00686  18.41038
   3.09027   1.95841  13.14665
   2.98348   2.01937  16.73579
   3.58912   5.83159   3.68603
   4.59867   8.39332   9.86566
   8.94308   6.02602  19.01917
   0.90441   5.13030  11.76231
   0.99428   7.90692  10.86284
   1.91048   2.69828   8.14254
   2.96281   2.08809  10.88630
   3.86758   7.09109  13.31111
   2.99005   8.92112  16.12185
   3.05487   3.07742  19.09060
   6.10903   2.06395  18.64978
   6.02326   5.90460  19.81469
   5.87469   6.05081  14.10818
   4.99509   6.08187  16.12539
   6.95074   3.11822   7.13508
   0.96975   0.86649  12.76443
   0.00000   4.62772  13.96132
   6.00266   6.10855  14.13736
   0.00000   4.84243  15.92057
   1.91975   6.00151  14.63484
   0.99121   4.87586  11.92797
   4.95135   2.97899  17.32827
   1.01538   4.94456   4.65512
   3.96335   1.92559   9.67749
   6.86066   2.98806   7.40335
   0.00000   4.23343   7.06126
   2.92672   4.11525   4.80793
   4.01377   3.93983   8.72196
   0.00000   4.54740  19.06814
   0.00000   4.23141   7.04793
   0.00000   5.42689  15.09436
   4.43502   1.99614  15.89846
   2.67351   8.34801  12.79912
   0.00000   4.56755  20.01080
   4.01594   4.89673  19.47865
   2.94817   2.05322  11.33282
   2.11518   2.96969  13.94269
   5.21832   7.45561   3.84777
   2.89954   3.03603  13.12091
   5.97365   6.03458  10.87462
   7.89493   5.98139  19.67737
   4.01808   8.09634  17.52319
   2.02237   3.95826  18.02103
   4.89673   8.00198  19.67727
   4.84630   5.93064  18.84916
   3.00805   0.99553  18.25811
   1.04451   6.10196  18.06753
   0.96418   0.98487  12.69553
   8.96384   6.00392   5.93209
   5.78953   8.98283  17.70120
   4.10195   6.02276   5.22397
   7.04695   1.89795  17.69753
   1.11070   2.23333  10.93254
   0.00000   4.78916  10.97898
   6.87339   3.22134   8.83409
   2.99189   6.08647  10.95878
   8.99543   4.92026   4.12364
   8.01550   3.01545  14.00789
   2.75397   8.90189  16.53940
   6.82635   0.99107  10.31667
   1.88617   2.99366   6.03840
   1.03933   2.58345   7.07464
   0.00000   4.82123  13.00793
   1.00421   3.68418   6.96042
   5.90953   5.89149  14.90620
   7.95191   5.04916  14.28035
   0.93709   8.19132  10.85961
   6.12739   3.08142  19.86437
   1.78117   8.36479   1.82995
   5.96395   5.99231  13.86377
   4.98337   1.07695  14.20604
   0.00000   5.40935  14.98928
   0.00000   3.97920   5.07565
   2.97488   8.28881  10.86705
   0.00000   4.79605  10.95695
   4.00348   2.04891  16.11917
   4.96876   5.00220  16.98775
   2.92417   6.01483  17.62992
   8.96634   5.03892  15.99728
   0.00000   4.50169  11.79302
   0.00000   5.03702  10.00485
   5.94118   1.95232  17.89195
   4.98582   7.01634  11.02211
   0.00000   4.63486  13.94307
   1.98045   2.08646  11.89080
   0.00000   4.82850  12.94425
   0.00000   4.81725  10.85058
   2.20935   4.72673   2.65854
   5.85240   6.02474   4.23912
   1.94184   6.03869   9.05574
   8.01349   3.14843   8.03357
   2.93679   9.00113  14.53193
   7.01301   6.00064   5.95540
   8.97550   1.97228  16.99233
   0.00000   4.68037  14.07854
   1.00499   5.01169  20.02520
   3.17912   7.82370   6.19086
   5.18631   2.14817  18.48234
   6.09756   3.98367  10.55982
   0.00000   1.58333   0.91588
   2.95881   5.91266  17.64821
   6.02140   3.05326   7.21416
   1.89086   3.91521   9.67179
   1.02972   8.05690  10.78431
   2.04824   3.04466   5.25516
   8.03613   2.93390  16.78253
   6.89752   3.99958  18.38520
   6.87982   2.94436   8.90988
   0.00000   4.35316  17.89774
   2.13746   7.80373  19.56415
   5.00515   3.96765   6.23863
   0.00000   4.65650   8.91647
   6.94435   5.96130  10.04501
   8.04088   6.09415   5.34762
   3.00239   2.02228  16.16572
   0.00000   4.65310   8.87367
   0.00000   4.31993  18.13139
   3.07405   7.18183  17.30586
   5.98459   5.93804   9.05728
   6.80597   2.90291  19.54946
   8.95556   4.96909  16.89672
   0.00000   5.01389   9.97362
   1.77502   7.19166  15.85613
   7.97563   3.77635  19.87020
   1.98769   7.95760   8.79682
   5.94870   5.96124  14.24623
   1.00183   8.22639  20.02160
   1.90433   7.28812   2.05400
   3.08717   2.52492   7.83516
   8.91033   8.96990  13.00529
   6.05880   6.88968   8.33871
   2.83348   3.99961   7.89734
   0.00000   4.75373  10.98302
   1.05378   5.97864   2.67144
   7.81860   5.07567  12.45244
   0.00000   4.55570  20.04157
   6.83457   5.98201  16.34332
   2.94670   5.02774  15.97264
   1.26248   8.76244   3.14208
   8.93076   5.94942  17.61045
   4.34346   7.86982  18.58483
   1.00933   3.31535  10.65750
   6.86944   6.00226  16.22151
   0.97672   8.15544  14.89586
   3.40221   6.59241   2.10202
   0.00000   3.93105   5.05314
   4.84341   2.10486   7.18521
   2.02388   3.00854  10.85750
   6.39358   8.22689  11.25503
   5.03335   5.98934  15.99391
   0.00000   4.74292  11.04745
   9.03216   4.97845  17.97056
   4.99051   7.03049  15.16103
   5.90486   4.02718   9.81196
   5.99898   4.02023  14.02040
   0.00000   4.64906  16.20034
   1.96025   8.26542   9.89008
   0.99020   5.11371  18.08211
   3.08537   6.86658   4.41622
   0.00000   4.18728   7.97345
   3.15314   5.96695  19.89488
   3.89671   6.96777  14.28026
   2.98908   2.41706   7.18881
   1.92288   5.16810  11.96356
   4.96255   5.98687   4.96305
   5.99100   3.89848   7.83522
   2.93799   3.02839  14.86832
   8.85026   5.05949   6.71901
   6.06135   3.97155  19.39763
   2.65361   8.07602  13.45223
   2.73518   7.23085   2.82424
   2.09669   8.96450   9.14167
   2.87920   3.11521  12.60463
   8.07136   5.95320  10.75095
   5.94403   4.91063  17.79170
   2.00275   8.19616  14.00989
   5.96684   3.97136   3.22916
   6.04096   3.10552   6.53839
   4.12218   2.06634  13.96318
   4.95399   7.05922  10.86182
   4.00752   4.91883  17.98043
   7.00977   6.99830   2.95038
   2.01063   2.02761  14.09336
   3.03167   2.15883   7.94439
   4.99142   2.00939  20.00290
   4.63601   2.36904   8.25213
   0.96680   2.13740   9.83725
   5.99611   4.00460  10.92459
   8.98328   3.92126  19.16946
   3.92541   8.04978  10.46932
   0.08509   4.01758   2.64871
   2.02429   7.08524  12.20303
   4.94620   7.98019  18.85633
   3.05988   3.72233   2.07583
   3.00932   6.97375  11.77658
   0.00000   4.55830   2.57810
   5.12564   8.87499  17.17910
   2.88122   4.09503  15.04349
   1.00499   3.14145  10.32071
   2.97679   7.64551  16.88842
   6.09615   8.17010  10.41391
   7.85251   5.97406  10.28990
   1.03113   5.99995  13.84376
   6.35860   7.10335   6.40121
   3.90401   4.89173  19.89764
   4.90820   2.23344  15.84513
   9.05403   3.98075  19.11110
   0.00000   3.88302   5.78868
   1.11276   7.91670   7.84797
   2.94580   5.00531  19.59946
   3.13173   1.01028  18.53476
   7.85810   5.98380  14.46204
   0.00000   4.77436  10.98116
   8.90469   5.02832  14.57487
   9.08261   5.06401   3.58810
   2.91613   9.04940  15.95469
   2.13757   8.07912  14.65685
   8.01457   5.93566  13.93113
   0.00000   5.01281  10.01939
   2.00649   1.96351  10.08952
   3.52857   0.83568  18.49231
   9.02842   5.01513  15.97902
   6.02826   5.94154  14.87773
   0.00000   4.37323  17.86109
   1.01398   4.92256  18.15338
   0.00000   4.19865   7.92778
   1.01944   5.74961  16.97497
   2.25116   8.76850  13.96960
   0.00000   5.42248  15.07379
   4.02102   7.12807  10.04167
   2.95968   4.07295  14.11919
   3.69206   7.12928  19.79315
   8.89682   7.97068  12.07802
   2.81866   1.96671  10.83380
   2.02120   8.97390  15.84058
   3.00913   7.17037  15.48149
   0.00000   4.84243  15.92057
   1.09595   0.96676  16.73785
   0.00000   4.49345  12.03068
   6.91734   4.05220  15.39536
   0.00000   5.41623  14.99560
   2.93655   6.10821  17.47783
   8.94483   7.98138  12.69748
   1.07792   8.74292  13.03750
   7.01069   1.93155  17.67940
   1.98071   6.92288  14.73491
   5.99808   3.01460  14.84392
   1.89073   2.01119  11.97581
   8.93217   5.97589   6.40873
   4.96046   5.06350  17.02716
   0.00000   4.79678  10.95712
   3.00052   5.04069  11.99097
   0.98316   7.15943   5.90742
   2.62288   3.01313   7.49130
   6.86782   5.98829  10.19118
   8.03269   2.97604  14.15986
   7.04124   6.02208   5.22105
   0.00000   4.66592  14.05394
   3.93422   2.02907  14.11199
   2.97996   1.91543  10.85888
   0.00000   3.90976   4.97680
   2.05813   2.01506   9.96189
   0.00000   4.51800  12.05397
   0.00000   4.29969  18.03435
   1.98688   2.03906  10.01337
   3.99029   3.99232   9.94783
   5.85992   1.81057  13.98986
   6.99524   4.99607  10.16548
   1.06267   3.97568  13.08023
   0.96699   4.64054   8.81703
   5.06142   1.96529  13.01683
   4.94079   2.89280   9.61281
   2.03522   5.98633  17.87726
   1.16308   2.00050   6.02815
   3.97832   4.90923  19.02468
   4.09361   4.90692  19.57610
   4.06371   2.09373  16.30168
   3.98137   5.93156   5.13041
   1.08577   8.59065  20.03107
   1.87151   4.11344  17.83075
   4.95174   5.08119   8.87816
   0.00000   3.77032   3.00037
   0.97114   7.16547   5.89049
   4.98271   5.92727   4.95281
   7.10957   1.93805  17.31984
   0.89705   3.07021  13.06736
   8.01786   2.95669  16.77079
   5.95617   7.01685  16.44466
   1.94593   5.83974  14.76138
   0.00000   4.69012   9.00264
   1.15561   3.77870   2.50135
   6.89841   3.05489   7.24096
   5.97190   8.88810  12.06182
   1.95324   3.15693  14.08485
   8.29487   6.74888   3.72306
   2.98608   1.24351  10.45609
   6.97847   7.97815  11.59671
   0.00000   4.77833  10.95764
   1.32064   2.82750   3.89983
   6.00147   6.01032   6.98847
   3.02281   7.04306  17.17836
   5.91652   4.93011  13.74364
   7.97023   5.00035  12.13335
   7.03745   2.03187  17.52416
   5.99597   7.95301  14.43423
   7.91918   6.02740   8.27553
   0.91576   7.30115   6.82671
   6.89220   5.98472  16.10088
   7.99824   2.10214  13.84329
   0.00000   3.24140   3.78096
   0.90631   2.99059  17.23162
   1.98873   3.16794   5.17027
   4.03440   4.93540  18.94615
   8.91230   4.08136   8.60809
   1.03989   6.07190  18.84251
   8.82758   1.98510  14.36499
   5.98586   3.99795   9.51656
   7.99012   4.00394   4.91113
   5.01879   1.04799  15.59727
   0.00000   3.85658   5.09171
   3.03387   7.97960  19.99155
   0.00000   4.49713  12.03470
   1.99932   4.04258   6.79913
   0.00000   4.65977   8.91334
   2.96190   9.00837  17.71292
   5.08995   5.78225   5.56925
   6.89447   8.95254  18.21492
   7.07229   1.91891  17.56634
   1.97788   3.94261  17.88454
   3.00736   2.98240  19.26759
   0.97610   2.21177  16.09113
   8.98967   4.98726  10.63112
   5.36767   4.53218   3.31790
   0.00000   4.16606   7.99277
   8.93598   6.00717  17.76619
   6.98646   3.01224  15.03440
   0.00000   4.69701   9.00148
   1.07882   4.85832  20.00699
   5.98715   6.97921  13.99411
   3.88097   9.01514  18.79519
   1.96024   6.84850  14.62426
   0.00000   4.83510  12.84022
   4.96829   6.99941  17.91824
   8.99669   9.01420  13.03468
   5.89202   5.03740   4.09537
   5.02500   1.04111  14.17160
   1.99814   2.96926  10.92096
   8.83335   5.84342   4.54930
   9.02224   5.98147  17.69921
   7.96612   1.89566  17.67895
   4.96840   5.95075  17.17325
   0.97306   7.00729  14.82378
   3.02220   3.05213   9.85357
   4.76713   7.22278   4.62814
   0.00000   4.80955  15.92171
   8.96775   4.93014  16.85115
   4.18415   3.94775   4.58010
   5.04299   5.06333  19.07030
   8.18375   5.00228   6.20173
   1.09822   4.94887  10.08824
   8.02677   1.99983  15.14885
   5.08117   2.96788  19.29381
   2.96281   6.07450  17.15573
   6.14636   2.03839  20.20777
   8.05648   4.91883  17.29998
   7.93130   3.03608  15.07746
   3.02818   1.94491  18.26596
   8.93430   6.13461   5.25746
   4.95297   3.94597   6.54794
   4.83682   7.10772   3.34883
   1.20009   4.45375   2.80115
   1.05220   5.89626  18.93944
   5.96438   5.00141   2.78244
   0.99184   6.98891   5.78903
   5.99140   4.94805   9.75184
   6.11968   5.94643   5.80647
   0.00000   4.63945   8.81985
   6.95318   6.00902   4.97982
   3.02551   3.02678  14.81240
   2.01325   8.03617   8.51138
   7.00850   6.04862   5.21526
   3.12563   7.87720  20.07990
   0.00000   4.30150  18.06482
   2.99534   2.95860  11.16078
   2.99766   5.00086  18.92079
   1.03773   7.98356   8.16985
   8.98447   6.05760  19.07381
   1.93458   6.10393   7.99417
   0.00000   4.16589   7.99191
   3.82210   5.19749   1.65121
   5.82728   0.94540   8.57895
   1.06664   6.67163   5.93229
   8.69244   7.08100   6.08906
   8.05595   4.93130  18.69794
   0.99091   1.87530   8.98572
   5.07549   2.97170  19.37019
   0.00000   4.23492   5.60317
   0.00000   4.32790  18.05186
   0.00000   5.02523   9.95847
   1.95827   8.99676   8.45070
   2.97061   6.97225  19.22556
   3.04129   8.80864   9.49836
   6.93618   4.00310  10.89518
   8.99773   4.01413  14.22966
   5.01617   4.99559   8.93559
   6.98127   2.02943  11.26098
   6.98748   3.96123  16.87076
   3.90587   7.60331  13.37934
   2.06363   7.86730  19.81610
   0.00000   4.02460   4.89565
   5.99428   3.03335  12.99993
   0.00000   4.62138  13.98442
   0.00000   4.75554  11.08469
   1.00225   8.71746  12.83980
   7.88089   6.08709  18.83233
   2.01163   4.09318  13.86923
   2.14653   6.77699   9.43348
   0.00000   5.02433   9.95738
   4.05979   3.96645  14.84425
   3.23984   8.07781   9.63145
   5.90081   5.89950   5.82550
   5.07422   3.95616  13.00544
   4.94184   4.04661  14.93220
   1.99026   4.02717  17.96972
   1.01438   8.10111   8.37814
   7.97938   3.96817   4.88465
   5.15403   5.83631   4.02925
   2.89267   1.97395   7.79272
   0.00000   4.67070  16.13456
   0.00000   4.37509  18.17911
   9.05267   5.95762  17.68346
   4.92454   6.81063   8.60571
   2.07684   2.06539  10.19816
   0.00000   4.38125  17.86392
   7.72495   5.15106   7.31404
   4.96346   6.03414  12.19408
   7.17765   1.91802  17.13687
   5.93465   3.10141   7.13231
   2.94406   4.92592   3.65586
   2.78601   2.92444   3.56904
   0.00000   5.41619  15.02475
   2.91921   8.95752  17.55333
   1.77591   5.54438   2.79392
   7.19581   6.97776  19.48633
   7.99031   4.99712  13.01630
   0.00000   5.01756  10.00369
   1.17323   2.82484   7.48009
   4.99778   5.05583   4.91171
   5.93632   2.00129  11.83556
   2.83488   8.88273  18.06917
   8.22952   5.95424   8.09401
   0.00000   4.84587  10.75734
   0.00000   3.98775   4.95398
   5.02018   2.85134  10.75496
   2.11813   5.85615   8.40490
   1.01614   3.97218  11.97847
   2.09384   7.89843   8.29387
   1.06219   6.95316   5.97993
   1.07749   3.15657   2.71647
   0.00000   4.69904   8.97952
   5.93056   4.93111   9.72037
   6.93796   7.11945   4.81737
   2.91486   8.18708  17.90051
   0.00000   4.06939   4.88366
   0.91223   5.96649   4.05718
   2.11578   8.90464  19.67275
   6.99178   5.02571   7.09168
   4.99565   8.92821  16.92618
   8.05880   1.88770  18.00722
   0.98882   6.72044   6.08371
   0.90367   4.87923   3.08066
   7.02054   4.03132  15.14432
   9.00048   2.96414  15.39572
   6.88072   3.02462  10.97181
   8.85010   2.11951  15.35692
   0.00000   5.02200  10.03841
   1.00589   6.94131   9.19270
   0.00000   4.71777   9.01667
